Residuos No peligrosos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;200139;Plásticos;R5;No Peligroso;14800;KG
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;060899;Residuos no especificados en otra categoría;D5;No Peligroso;12000;KG
2008;B01311372;FELIX MARTINEZ DE LECEA;0100001358;FELIX MARTINEZ DE LECEA S.L.;Lantarón;200304;Lodos de fosas sépticas;D5;No Peligroso;4660;KG
2008;B01311372;FELIX MARTINEZ DE LECEA;0100001358;FELIX MARTINEZ DE LECEA S.L.;Lantarón;200138;Madera distinta de la especificada en el código 20 01 37;R1/R3;No Peligroso;220;KG
2008;B01311372;FELIX MARTINEZ DE LECEA;0100001358;FELIX MARTINEZ DE LECEA S.L.;Lantarón;200101;Papel y cartón;R13;No Peligroso;280;KG
2008;B01311372;FELIX MARTINEZ DE LECEA;0100001358;FELIX MARTINEZ DE LECEA S.L.;Lantarón;200139;Plásticos;R13;No Peligroso;150;KG
2008;A01007764;FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA);0100000471;Fundiciones Inyectadas Alavesas S.A. (FIASA);Iruña Oka/Iruña de Oca;100316;Espumas distintas de las especificadas en el código 10 03 15;D5;No Peligroso;390280;KG
2008;A01007764;FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA);0100000471;Fundiciones Inyectadas Alavesas S.A. (FIASA);Iruña Oka/Iruña de Oca;170201;Madera;R13;No Peligroso;7020;KG
2008;A01007764;FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA);0100000471;Fundiciones Inyectadas Alavesas S.A. (FIASA);Iruña Oka/Iruña de Oca;191201;Papel y cartón;R3;No Peligroso;5880;KG
2008;A01007764;FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA);0100000471;Fundiciones Inyectadas Alavesas S.A. (FIASA);Iruña Oka/Iruña de Oca;191001;Residuos de hierro y acero;R4;No Peligroso;78766;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;100903;Escorias de horno;R4;No Peligroso;4942210;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;100908;Machos y moldes de fundición con colada distintos de los especificados en el código 10 09 07;R5;No Peligroso;4579580;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;100906;Machos y moldes de fundición sin colada distintos de los especificados en el código 10 09 05;R5;No Peligroso;1469040;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;100906;Machos y moldes de fundición sin colada distintos de los especificados en el código 10 09 05;R5;No Peligroso;19460;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;161104;Otros revestimientos y refractarios procedentes de procesos metalúrgicos, distintos de los especificados en el código 16 11 03;R13;No Peligroso;107020;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;100910;Partículas procedentes de los efluentes gaseosos distintas de las especificadas en el código 10 09 09;R13;No Peligroso;734520;KG
2008;A01030287;FUNDICIONES URBINA;0100000785;FUNDICIONES URBINA;Legutiano;100910;Partículas procedentes de los efluentes gaseosos distintas de las especificadas en el código 10 09 09;R13;No Peligroso;734520;KG
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;110502;Cenizas de zinc;R4;No Peligroso;201807;KG
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;120101;Limaduras y virutas de metales férreos;R4;No Peligroso;140820;KG
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;170201;Madera;R13;No Peligroso;0;KG
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;110501;Matas de galvanización;R4;No Peligroso;144120;KG
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;200101;Papel y cartón;R13;No Peligroso;0;KG
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;200139;Plásticos;R13;No Peligroso;0;KG
2008;A01021708;GALVANIZADOS VITORIA;0100000663;GALVANIZADOS VITORIA S.A.;Vitoria-Gasteiz;110502;Cenizas de zinc;R13;No Peligroso;95731;KG
2008;A01021708;GALVANIZADOS VITORIA;0100000663;GALVANIZADOS VITORIA S.A.;Vitoria-Gasteiz;150106;Envases mixtos;R5;No Peligroso;10200;KG
2008;A01021708;GALVANIZADOS VITORIA;0100000663;GALVANIZADOS VITORIA S.A.;Vitoria-Gasteiz;110501;Matas de galvanización;R13;No Peligroso;81623;KG
2008;A01021708;GALVANIZADOS VITORIA;0100000663;GALVANIZADOS VITORIA S.A.;Vitoria-Gasteiz;200140;Metales;R13;No Peligroso;10520;KG
2008;A01021708;GALVANIZADOS VITORIA;0100000663;GALVANIZADOS VITORIA S.A.;Vitoria-Gasteiz;200199;Otras fracciones no especificadas en otra categoría;R13;No Peligroso;5000;KG
2008;A01021708;GALVANIZADOS VITORIA;0100000663;GALVANIZADOS VITORIA S.A.;Vitoria-Gasteiz;080318;Residuos de tóner de impresión, distintos de los especificados en el código 08 03 17;R13;No Peligroso;5;KG
2008;A01001296;GAMARRA, S.A.;0100000221;GAMARRA S.A.;Vitoria-Gasteiz;060902;Escorias de fósforo;D5;No Peligroso;1453860;KG
2008;A01001296;GAMARRA, S.A.;0100000221;GAMARRA S.A.;Vitoria-Gasteiz;100906;Machos y moldes de fundición sin colada distintos de los especificados en el código 10 09 05;R13;No Peligroso;350500;KG
