Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01352368;NOVACERO;0100006172;NOVACERO SAL;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;D5;Urbano;109000;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;150103;Envases de madera;-//D1//-//-//-//-//-;Urbano;100450;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;150101;Envases de papel y cartón;-//D1//-//-//-//-//-;Urbano;6550;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;150106;Envases mixtos;D1;Urbano;521310;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;170405;Hierro y acero;-//D1//-//-//-//-//-;Urbano;116770;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;191203;Metales no férreos;-//D1//-//-//-//-//-;Urbano;1140;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;-//D1//-//-//-//-//-;Urbano;712016;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;080318;Residuos de tóner de impresión, distintos de los especificados en el código 08 03 17;-//D1//-//-//-//-//-;Urbano;50;KG
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;061199;Residuos no especificados en otra categoría;D1;Urbano;1000;KG
2008;A01006568;OFITA INTERIORES S.A.;0100000418;OFITA INTERIORES S.A.;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;R13;Urbano;155140;KG
