Contaminantes al AGUA de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad másica por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad masica KG/Año
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;020128;COBRE Y SUS COMPUESTOS;20;1,14493
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010104;TETRACLORURO DE CARBONO;(null);0,0114493
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010803;TOLUENO (COMO BTEX);73;0,0915944
2008;A20789947;FUNDICIONES WIND ENERGY CASTINH;2000018262;FUNDICIONES WIND ENERGY CASTINH (WEC I de Deba);Deba;Agua;010600;ACEITES Y GRASAS MINERALES PERSISTENTES;(null);0
2008;A20789947;FUNDICIONES WIND ENERGY CASTINH;2000018262;FUNDICIONES WIND ENERGY CASTINH (WEC I de Deba);Deba;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;0
2008;F20025292;FAGOR EDERLAN;2000019815;MARKULETEKO BURDINA GALDATEGIA;Arrasate/Mondragón;Agua;020112;HIERRO;(null);7,19696
2008;B48011670;DOW CHEMICAL IBERICA;4800000005;DOW CHEMICAL IBERICA , SL;Leioa;Agua;010800;BTEX (BENCENO, TOLUENO, ETILBENCENO XILENOS);(null);0,02
2008;B48011670;DOW CHEMICAL IBERICA;4800000005;DOW CHEMICAL IBERICA , SL;Leioa;Agua;010108;1,2-DICLOROETANO (DCE);34;0
2008;B48011670;DOW CHEMICAL IBERICA;4800000005;DOW CHEMICAL IBERICA , SL;Leioa;Agua;010804;XILENO (COMO BTEX);78;0,003083
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Agua;020127;CROMO Y SUS COMPUESTOS;19;0
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Agua;020130;NÍQUEL Y SUS COMPUESTOS;22;0
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Agua;020132;ZINC Y SUS COMPUESTOS;24;0
2008;A48147144;ALDETU;4800000077;ALDETU S.A;Lemoa;Agua;020132;ZINC Y SUS COMPUESTOS;24;3,85
2008;A48212567;GARBIKER A.B. (S.A.);4800001091;GARBIKER-BERRIZ;Berriz;Agua;020128;COBRE Y SUS COMPUESTOS;20;1,94
2008;A48212567;GARBIKER A.B. (S.A.);4800001091;GARBIKER-BERRIZ;Berriz;Agua;020124;CALCIO;(null);4975
2008;A48212567;GARBIKER A.B. (S.A.);4800001091;GARBIKER-BERRIZ;Berriz;Agua;010105;CLOROFORMO;58;0,184
2008;A48212567;GARBIKER A.B. (S.A.);4800001091;GARBIKER-BERRIZ;Berriz;Agua;020111;ESTAÑO;(null);3,067
2008;A20003216;PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A.;2000000174;PAPELERA GUIPUZCOANA DE ZICUÑAGA;Hernani;Agua;022300;CARBONO ORGÁNICO TOTAL (TOC);76;3072071
2008;A20003216;PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A.;2000000174;PAPELERA GUIPUZCOANA DE ZICUÑAGA;Hernani;Agua;010400;MERCURIO Y SUS COMPUESTOS;21;0
2008;A20003216;PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A.;2000000174;PAPELERA GUIPUZCOANA DE ZICUÑAGA;Hernani;Agua;022100;NITRÓGENO TOTAL;12;1966,1
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Agua;020128;COBRE Y SUS COMPUESTOS;20;3,49
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Agua;020127;CROMO Y SUS COMPUESTOS;19;45,69
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Agua;020101;ALUMINIO;(null);169,256
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Agua;020113;MANGANESO;(null);24,67
