Contaminantes al AIRE de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad KG/Año
2008;F20025292;FAGOR EDERLAN;2000004904;BEHE PRESIOKO ALUMINIO-MEKANIZAZIOA 2;Arrasate/Mondragón;Aire;070102;OXIDO NITROSO (N2O);5;36,8
2008;F20020517;FAGOR ELECTRODOMESTICOS;2000004894;PLANTA SAN ANDRES;Arrasate/Mondragón;Aire;070105;METANO;1;3,7
2008;F20020517;FAGOR ELECTRODOMESTICOS;2000004895;PLANTA GARAGARTZA;Arrasate/Mondragón;Aire;070105;METANO;1;234,05
2008;F20025292;FAGOR EDERLAN;2000004901;ESKORIATZAKO ALUMINIO INJEKZIOA- POWER TRAIN;Eskoriatza;Aire;030402;OXIDOS DE NITROGENO;8;0
2008;F20025292;FAGOR EDERLAN;2000004903;ARETXABALETAKO ALUMINIO INJEKZIOA - POWER TRAIN;Aretxabaleta;Aire;030404;DIOXIDO DE CARBONO;3;4275262,72
2008;F20025292;FAGOR EDERLAN;2000004903;ARETXABALETAKO ALUMINIO INJEKZIOA - POWER TRAIN;Aretxabaleta;Aire;030401;OXIDOS DE AZUFRE;11;24844
2008;F20025292;FAGOR EDERLAN;2000004903;ARETXABALETAKO ALUMINIO INJEKZIOA - POWER TRAIN;Aretxabaleta;Aire;070102;OXIDO NITROSO (N2O);5;151,6
2008;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;Aire;030207;AMONIACO;6;0
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Aire;030403;MONOXIDO DE CARBONO;2;91364
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Aire;030401;OXIDOS DE AZUFRE;11;969400
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Aire;050107;PCDD + PCDF (DIOXINAS + FURANOS);47;0,0000261
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Aire;070102;OXIDO NITROSO (N2O);5;5227
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Aire;020312;ZINC Y SUS COMPUESTOS;24;156
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Aire;020306;COBRE Y SUS COMPUESTOS;20;52
2008;A01002716;OLAZABAL Y HUARTE;0100000205;OLAZABAL Y HUARTE;Vitoria-Gasteiz;Aire;070105;METANO;1;1,1
2008;A01002716;OLAZABAL Y HUARTE;0100000205;OLAZABAL Y HUARTE;Vitoria-Gasteiz;Aire;020303;CROMO Y SUS COMPUESTOS;19;1,3
2008;A01001296;GAMARRA, S.A.;0100000221;GAMARRA S.A.;Vitoria-Gasteiz;Aire;080000;PARTÍCULAS SÓLIDAS;(null);2585
2008;A01001296;GAMARRA, S.A.;0100000221;GAMARRA S.A.;Vitoria-Gasteiz;Aire;070105;METANO;1;10
2008;B83333948;CROWN EMBALAJES ESPAÑA;4800005686;CROWN EMBALAJES ESPAÑA S.L.;Ugao-Miraballes;Aire;030402;OXIDOS DE NITROGENO;8;1
2008;B83333948;CROWN EMBALAJES ESPAÑA;4800005686;CROWN EMBALAJES ESPAÑA S.L.;Ugao-Miraballes;Aire;010000;PARTICULAS SOLIDAS INERTES;(null);0
2008;A01140227;TUBACEX TUBOS INOXIDABLES;0100000158;TTI. LLODIO, S.A.;Laudio/Llodio;Aire;030404;DIOXIDO DE CARBONO;3;5498359,6
2008;A01140227;TUBACEX TUBOS INOXIDABLES;0100000158;TTI. LLODIO, S.A.;Laudio/Llodio;Aire;040159;PENTACLOROBENCENO;48;0
2008;A01140227;TUBACEX TUBOS INOXIDABLES;0100000158;TTI. LLODIO, S.A.;Laudio/Llodio;Aire;040157;PCB;50;0
2008;B01374925;SK2024 AERONAUTICA;0100000172;SK2024 AERONÁUTICA;Vitoria-Gasteiz;Aire;030403;MONOXIDO DE CARBONO;2;44,57
2008;B01333574;GUARDIAN LLODIO UNO;0100000200;GUARDIAN LLODIO UNO, S.L.;Laudio/Llodio;Aire;030403;MONOXIDO DE CARBONO;2;5571,09
2008;B01333574;GUARDIAN LLODIO UNO;0100000200;GUARDIAN LLODIO UNO, S.L.;Laudio/Llodio;Aire;030404;DIOXIDO DE CARBONO;3;130117000
2008;B01333574;GUARDIAN LLODIO UNO;0100000200;GUARDIAN LLODIO UNO, S.L.;Laudio/Llodio;Aire;020302;PLOMO Y SUS COMPUESTOS;23;108,97
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Aire;050302;BENCENO;62;0
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Aire;060101;PM10 (PARTÍCULAS SUSPENDIDAS FRACCIÓN RESPIRABLE);86;0
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Aire;040405;PENTACLOROFENOL (PCP);49;0
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Aire;020302;PLOMO Y SUS COMPUESTOS;23;0
2008;B01218932;CELSA ATLANTIC;0100000240;LAMINACIONES ARREGUI, S.L.;Vitoria-Gasteiz;Aire;030404;DIOXIDO DE CARBONO;3;33055937,57
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;020306;COBRE Y SUS COMPUESTOS;20;0
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;030209;CLORO Y COMPUESTOS INORGÁNICOS (HCL);80;9
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;070104;HEXAFLUORURO DE AZUFRE;10;0
